Horanum, Temperatura exterior
6.433333333333334,24.2
6.5,24.6
6.516666666666667,24.0
6.583333333333333,24.6
6.6,24.0
6.666666666666667,24.6
6.683333333333334,23.9
6.75,24.6
6.766666666666667,23.9
6.833333333333333,24.6
6.85,23.7
6.916666666666667,24.6
6.933333333333334,23.7
7.0,24.6
7.016666666666667,23.7
7.083333333333333,24.6
7.1,23.6
7.166666666666667,24.6
7.183333333333334,23.6
7.25,24.6
7.266666666666667,23.6
7.333333333333333,24.6
7.35,23.6
7.416666666666667,24.6
7.433333333333334,23.6
7.5,24.6
7.516666666666667,23.8
7.583333333333333,24.2
7.6,24.0
7.666666666666667,24.2
7.683333333333334,24.2
7.75,24.2
7.766666666666667,24.2
7.833333333333333,24.2
7.85,24.7
7.916666666666667,24.2
7.933333333333334,24.9
8.0,24.2
8.016666666666667,25.0
8.083333333333334,24.2
8.1,25.3
8.166666666666666,24.2
8.183333333333334,25.4
8.25,24.2
8.266666666666667,25.4
8.333333333333334,24.2
8.35,25.3
8.416666666666666,24.2
8.433333333333334,25.1
8.5,24.2
8.516666666666667,24.9
8.583333333333334,24.2
8.6,24.7
8.666666666666666,24.2
8.683333333333334,24.2
8.75,24.2
8.766666666666667,24.2
8.833333333333334,24.2
8.85,24.0
8.916666666666666,24.2
8.933333333333334,23.9
9.0,24.2
9.016666666666667,23.7
9.083333333333334,24.2
9.1,23.7
9.166666666666666,24.6
9.183333333333334,23.6
9.25,24.6
9.266666666666667,23.6
9.333333333333334,24.6
9.35,23.6
9.416666666666666,24.6
9.433333333333334,23.6
9.5,24.6
9.516666666666667,23.6
9.583333333333334,24.6
9.6,23.6
9.666666666666666,24.6
9.683333333333334,23.6
9.75,24.6
9.766666666666667,22.7
9.833333333333334,24.6
9.85,22.7
9.916666666666666,24.6
9.933333333333334,22.7
10.0,24.6
10.016666666666667,23.6
10.083333333333334,24.6
10.1,23.6
10.166666666666666,24.6
10.183333333333334,23.6
10.25,24.6
10.266666666666667,23.7
10.333333333333334,24.6
10.35,23.8
10.416666666666666,24.8
10.433333333333334,23.9
10.5,24.8
10.516666666666667,24.0
10.583333333333334,24.8
10.6,24.2
10.666666666666666,24.8
10.683333333333334,24.2
10.75,24.9
10.766666666666667,24.6
10.833333333333334,24.9
10.85,24.6
10.916666666666666,25.0
10.933333333333334,24.7
11.0,25.0
11.016666666666667,24.8
11.083333333333334,25.0
11.1,24.8
11.166666666666666,25.0
11.183333333333334,24.9
11.25,25.0
11.266666666666667,24.9
11.333333333333334,25.0
11.35,24.9
11.416666666666666,25.0
11.433333333333334,24.9
11.5,25.1
11.516666666666667,24.9
11.583333333333334,25.1
11.6,25.0
11.666666666666666,25.2
11.683333333333334,25.0
11.75,25.2
11.766666666666667,25.0
11.833333333333334,25.3
11.85,25.0
11.916666666666666,25.4
11.933333333333334,25.0
12.0,25.4
12.016666666666667,25.0
12.083333333333334,25.4
12.1,25.0
12.166666666666666,25.4
12.183333333333334,25.0
12.25,25.5
12.266666666666667,25.0
12.333333333333334,25.5
12.35,25.0
12.416666666666666,25.6
12.433333333333334,25.0
12.5,25.6
12.516666666666667,25.0
12.583333333333334,25.6
12.6,25.0
12.666666666666666,25.7
12.683333333333334,25.0
12.75,25.7
12.766666666666667,25.0
12.833333333333334,25.7
12.85,25.0
12.916666666666666,25.7
12.933333333333334,25.0
13.0,25.7
13.016666666666667,25.0
13.083333333333334,25.7
13.1,25.0
13.166666666666666,25.8
13.183333333333334,25.1
13.25,25.9
13.266666666666667,25.1
13.333333333333334,25.9
13.35,25.0
13.416666666666666,25.9
13.433333333333334,25.1
13.5,25.9
13.516666666666667,25.1
13.583333333333334,25.9
13.6,25.2
13.666666666666666,25.9
13.683333333333334,25.1
13.75,25.9
13.766666666666667,25.1
13.833333333333334,26.0
13.85,25.0
13.916666666666666,26.0
13.933333333333334,25.0
14.0,26.1
14.016666666666667,25.0
14.083333333333334,26.1
14.1,25.0
14.166666666666666,26.2
14.183333333333334,25.0
14.25,26.2
14.266666666666667,25.0
14.333333333333334,26.3
14.35,25.0
14.416666666666666,26.4
14.433333333333334,25.0
14.5,26.4
14.516666666666667,25.0
14.583333333333334,26.4
14.6,25.0
14.666666666666666,26.4
14.683333333333334,25.0
14.75,26.1
14.766666666666667,25.0
14.833333333333334,25.9
14.85,25.0
14.916666666666666,25.6
14.933333333333334,25.0
15.0,25.4
15.016666666666667,25.0
15.083333333333334,25.3
15.1,25.0
15.166666666666666,25.1
15.183333333333334,25.0
15.25,24.9
15.266666666666667,25.0
15.333333333333334,24.7
15.35,25.0
15.416666666666666,24.7
15.433333333333334,25.0
15.5,24.7
15.516666666666667,25.0
15.583333333333334,24.9
15.6,25.0
15.666666666666666,25.0
15.683333333333334,25.0
15.75,25.0
15.766666666666667,25.0
15.833333333333334,25.0
15.85,25.0
15.916666666666666,25.3
15.933333333333334,25.0
16.0,25.3
16.016666666666666,25.0
16.083333333333332,25.4
16.1,25.0
16.166666666666668,25.4
16.183333333333334,24.9
16.25,25.5
16.266666666666666,24.9
16.333333333333332,25.6
16.35,24.9
16.416666666666668,25.6
16.433333333333334,24.9
16.5,25.6
16.516666666666666,24.9
16.583333333333332,25.7
16.6,24.9
16.666666666666668,25.7
16.683333333333334,24.9
16.75,25.7
16.766666666666666,24.9
16.833333333333332,25.7
16.85,24.8
16.916666666666668,25.7
16.933333333333334,24.8
17.0,25.8
17.016666666666666,24.8
17.083333333333332,25.8
17.1,24.8
17.166666666666668,25.9
17.183333333333334,24.8
17.25,25.9
17.266666666666666,24.8
17.333333333333332,25.9
17.35,24.8
17.416666666666668,25.9
17.433333333333334,24.8
17.5,25.9
17.516666666666666,24.8
17.583333333333332,25.9
17.6,24.8
17.666666666666668,26.0
17.683333333333334,24.8
17.75,26.0
17.766666666666666,24.6
17.833333333333332,26.0
17.85,24.6
17.916666666666668,26.0
17.933333333333334,24.6
18.0,26.0
18.016666666666666,24.6
18.083333333333332,26.1
18.1,24.6
18.166666666666668,26.1
18.183333333333334,24.6
18.25,26.1
18.266666666666666,24.6
18.333333333333332,26.1
18.35,24.6
18.416666666666668,26.1
18.433333333333334,24.6
18.5,26.1
18.516666666666666,24.6
18.583333333333332,26.1
18.6,24.6
18.666666666666668,26.1
18.683333333333334,24.6
18.75,26.1
18.766666666666666,24.6
18.833333333333332,26.1
18.85,24.6
18.916666666666668,26.1
18.933333333333334,24.6
19.0,26.1
19.016666666666666,24.6
19.083333333333332,26.1
19.1,24.6
19.166666666666668,26.1
19.183333333333334,24.6
19.25,26.1
19.266666666666666,24.6
19.333333333333332,26.1
19.35,24.6
19.416666666666668,26.1
19.433333333333334,24.6
19.5,26.1
19.516666666666666,24.6
19.583333333333332,26.1
19.6,24.6
19.666666666666668,26.1
19.683333333333334,24.6
19.75,26.1
19.766666666666666,24.2
19.833333333333332,26.1
19.85,24.2
19.916666666666668,26.1
19.933333333333334,24.2
20.0,26.1
20.016666666666666,24.2
20.083333333333332,26.1
20.1,24.2
20.166666666666668,26.1
20.183333333333334,24.2
20.25,26.1
20.266666666666666,24.2
20.333333333333332,26.1
20.35,24.2
20.416666666666668,26.1
20.433333333333334,24.2
20.5,26.1
20.516666666666666,24.2
20.583333333333332,26.1
20.6,24.2
20.666666666666668,26.1
20.683333333333334,24.2
20.75,26.1
20.766666666666666,24.2
20.833333333333332,26.0
20.85,24.2
20.916666666666668,26.0
20.933333333333334,24.2
21.0,26.0
21.016666666666666,24.2
21.083333333333332,26.0
21.1,24.2
21.166666666666668,26.0
21.183333333333334,24.2
21.25,26.0
21.266666666666666,24.2
21.333333333333332,26.0
21.35,24.6
21.416666666666668,26.0
21.433333333333334,24.6
21.5,25.9
21.516666666666666,24.6
21.583333333333332,25.9
21.6,24.6
21.666666666666668,25.9
21.683333333333334,24.6
21.75,25.9
21.766666666666666,24.6
21.833333333333332,25.9
21.85,24.6
21.916666666666668,25.9
21.933333333333334,24.6
22.0,25.9
22.016666666666666,24.6
22.083333333333332,25.9
22.1,24.6
22.166666666666668,25.9
22.183333333333334,24.6
22.25,25.9
22.266666666666666,24.6
22.333333333333332,25.9
22.35,24.6
22.416666666666668,25.9
22.433333333333334,24.6
22.5,25.9
22.516666666666666,24.6
22.583333333333332,25.9
22.6,24.8
22.666666666666668,25.9
22.683333333333334,24.8
22.75,25.9
22.766666666666666,24.8
22.833333333333332,25.9
22.85,24.8
22.916666666666668,25.9
22.933333333333334,24.9
23.0,25.9
23.016666666666666,24.9
23.083333333333332,25.9
23.1,25.0
23.166666666666668,25.9
23.183333333333334,25.0
23.25,25.9
23.266666666666666,25.0
23.333333333333332,25.9
23.35,25.0
23.416666666666668,25.9
23.433333333333334,25.0
23.5,25.9
23.516666666666666,25.0
23.583333333333332,25.9
23.6,25.0
23.666666666666668,25.9
23.683333333333334,25.1
23.75,25.9
23.766666666666666,25.1
23.833333333333332,25.9
23.85,25.2
23.916666666666668,25.9
23.933333333333334,25.2

